Region,1967,1978,1988,2002,2012,Projected Population 2016,Growth Rate 1978-1988,Growth Rate 1988-2002,Growth Rate 2002-2012
Tanzania,12313469,17512610,23095878,34569232,44928923,50052965,2.8,2.9,2.7
Tanzania Mainland,11958654, 17036499,22455193,33584607,43625354,48600727,2.8,2.8,2.7
Dodoma,709380,972005,1235328,1698996,2083588,2266170,2.4,2.2,2.1
Arusha, 610474, 926223,744479,1292973,1694310,1887542,3.8,3.9,2.7
Kilimanjaro,652722,902437,1104673,1381149,1640087,1762528,2.1,1.6,1.8
Tanga,771060,1037767,1280212,1642015,2045205,2233339,2.1,1.8,2.2
Morogoro,682700,939264,1220564,1759809,2218492,2442025,2.6,2.6,2.4
Pwani,428041, 516586,636103,889154,1098668,1199732,2.1,2.4,2.2
Dar es Salaam,356286, 843090,1360850,2497940,4364541,5460350,4.8,4.3,5.6
Lindi,419853,527624,646494,791306,864652,896346,2.0,1.4,0.9
Mtwara,621293,771818,889100,1128523,1270854,1333342,1.4,1.7,1.2
Ruvuma,395447,561575,779875,1117166,1376891,1497546,3.4,2.5,2.1
Iringa,689905,925044,1193074,1495333,941238,983577,2.7,1.6,1.1
Mbeya,753765,1079864,1476278,2070046,2707410,3016184,3.1,2.4,2.7
Singida, 457938,613949,792387,1090758,1370637,1502718,2.5,2.3,2.3
Tabora,502068,817907,1036150,1717908,2291623,2573483,2.4,3.6,2.9
Rukwa, 276091,451897,698718,1141743,1004539,1141711,4.3,3.5,3.2
Kigoma,473443,648941,856770,1679109,2127930,2342338,2.8,4.8,2.4
Shinyanga,899468,1323535,1763800,2805580,1534808,1669301,2.9,3.3,2.1
Kagera,658712,1009767,1313594,2033888,2458023,2793673,2.7,3.1,3.2
Mwanza,1055883,1443379,1876635,2942148,2772509,3125995,2.6,3.2,3.0
Mara,544125, 723827, 946418,1368602,1743830,1927230,2.9,2.6,2.5
Manyara, N/A , N/A , 603691,1040461,1425131,1619736, N/A ,3.9,3.2
Njombe, N/A , N/A , N/A , N/A ,702097,724927, N/A ,N/A,0.8
Katavi, N/A , N/A , N/A , N/A ,564604,641702, N/A ,N/A,3.2
Simiyu, N/A , N/A , N/A , N/A ,1584157,1702422, N/A ,N/A,1.8
Geita, N/A , N/A , N/A , N/A ,1739530,1930183, N/A ,N/A,2.6
